Symbol,Strategy,Direction,Exit,Entry Date,Exit Date,Days Held,Entry $,Exit $,PnL $,PnL %
AAPL,NAKED_LONG,BEARISH,TIME,2019-01-02,2019-01-07,5,954.32,1003.89,49.57,5.2
AMD,NAKED_LONG,BEARISH,TIME,2019-01-02,2019-01-07,5,710.93,786.26,75.33,9.0
GDX,NAKED_LONG,BEARISH,TIME,2019-01-03,2019-01-08,5,467.95,456.1,-11.85,-1.4
TSLA,DIAGONAL,BULLISH,TIME,2019-01-02,2019-01-17,15,622.29,685.77,63.48,7.6
AVGO,DIAGONAL,BULLISH,TIME,2019-01-03,2019-01-18,15,523.71,546.49,22.78,2.7
GDX,DIAGONAL,BULLISH,TIME,2019-01-07,2019-01-22,15,463.87,399.07,-64.8,-7.8
QCOM,DIAGONAL,BULLISH,TIME,2019-01-08,2019-01-23,15,1051.38,965.16,-86.22,-8.2
GDX,DIAGONAL,BULLISH,TIME,2019-01-08,2019-01-23,15,461.02,399.25,-61.77,-7.4
GDX,NAKED_LONG,BEARISH,TIME,2019-01-23,2019-01-28,5,783.5,806.6,23.1,2.8
ANET,DIAGONAL,BULLISH,TIME,2019-01-17,2019-02-01,15,698.28,657.54,-40.74,-4.9
TSLA,DIAGONAL,BULLISH,TIME,2019-01-18,2019-02-04,17,691.03,576.17,-114.86,-13.8
GDX,NAKED_LONG,BEARISH,TIME,2019-01-28,2019-02-04,7,807.97,839.73,31.75,3.8
TSLA,DIAGONAL,BULLISH,TIME,2019-01-22,2019-02-06,15,675.32,576.14,-99.18,-11.9
AVGO,DIAGONAL,BULLISH,TIME,2019-01-23,2019-02-07,15,564.2,471.13,-93.07,-11.2
ANET,DIAGONAL,BULLISH,TIME,2019-01-28,2019-02-12,15,674.72,722.32,47.6,5.7
GDX,DIAGONAL,BULLISH,TIME,2019-02-04,2019-02-19,15,442.69,447.17,4.48,0.5
AMZN,CREDIT_SPREAD,BULLISH,TIME,2019-02-04,2019-02-19,15,245.19,179.47,65.72,7.9
AMD,CREDIT_SPREAD,BULLISH,TIME,2019-02-06,2019-02-21,15,364.94,320.33,44.6,5.4
TQQQ,DIAGONAL,BULLISH,TIME,2019-02-07,2019-02-22,15,770.28,744.19,-26.09,-3.1
TQQQ,NAKED_LONG,BULLISH,TIME,2019-02-21,2019-02-26,5,741.08,738.8,-2.28,-0.3
META,CREDIT_SPREAD,BULLISH,TIME,2019-02-12,2019-02-27,15,261.28,194.76,66.52,8.0
AVGO,NAKED_LONG,BULLISH,TIME,2019-02-22,2019-02-27,5,480.38,471.91,-8.46,-1.0
SOXL,NAKED_LONG,BULLISH,TIME,2019-02-27,2019-03-04,5,668.62,647.09,-21.53,-2.6
META,CREDIT_SPREAD,BULLISH,TIME,2019-02-19,2019-03-06,15,256.18,90.49,165.69,19.9
MU,CREDIT_SPREAD,BULLISH,TIME,2019-02-19,2019-03-06,15,347.7,233.22,114.49,13.7
TSLA,NAKED_LONG,BULLISH,TIME,2019-03-04,2019-03-11,7,473.54,482.68,9.14,1.1
SOXL,NAKED_LONG,BULLISH,TIME,2019-03-06,2019-03-11,5,632.22,615.7,-16.51,-2.0
AAPL,NAKED_LONG,BULLISH,TIME,2019-03-06,2019-03-11,5,857.41,881.36,23.95,2.8
QCOM,NAKED_LONG,BEARISH,TIME,2019-03-06,2019-03-11,5,907.11,905.81,-1.3,-0.1
GDX,DIAGONAL,BULLISH,TIME,2019-02-26,2019-03-13,15,448.24,445.79,-2.45,-0.3
AMD,CREDIT_SPREAD,BULLISH,TIME,2019-02-27,2019-03-14,15,349.16,179.49,169.66,20.4
NVDA,NAKED_LONG,BEARISH,TIME,2019-03-11,2019-03-18,7,826.28,875.76,49.48,5.9
AAPL,NAKED_LONG,BEARISH,TIME,2019-03-11,2019-03-18,7,831.08,874.05,42.97,5.2
TQQQ,NAKED_LONG,BEARISH,TIME,2019-03-12,2019-03-18,6,720.41,742.87,22.47,2.7
SOXL,NAKED_LONG,BEARISH,TIME,2019-03-12,2019-03-18,6,659.65,735.14,75.49,9.1
AMD,NAKED_LONG,BULLISH,TIME,2019-03-14,2019-03-19,5,516.4,677.2,160.8,19.3
GOOGL,NAKED_LONG,BULLISH,TIME,2019-03-18,2019-03-25,7,1220.01,1234.95,14.94,1.2
TSLA,NAKED_LONG,BULLISH,TIME,2019-03-18,2019-03-25,7,463.14,444.02,-19.12,-2.3
TQQQ,NAKED_LONG,BEARISH,TIME,2019-03-18,2019-03-25,7,746.27,832.79,86.52,10.4
SHOP,NAKED_LONG,BULLISH,TIME,2019-03-19,2019-03-25,6,444.85,444.33,-0.52,-0.1
TQQQ,NAKED_LONG,BEARISH,TIME,2019-03-19,2019-03-25,6,754.09,833.75,79.66,9.6
CIEN,CREDIT_SPREAD,BULLISH,TIME,2019-03-13,2019-03-28,15,270.1,167.89,102.22,12.3
GDX,NAKED_LONG,BEARISH,TIME,2019-03-25,2019-04-01,7,446.34,424.47,-21.87,-2.6
AAPL,NAKED_LONG,BULLISH,TIME,2019-03-26,2019-04-01,6,944.59,962.07,17.48,1.9
TQQQ,DIAGONAL,BULLISH,TIME,2019-03-25,2019-04-09,15,829.12,840.82,11.7,1.4
SOXL,DIAGONAL,BULLISH,TIME,2019-03-25,2019-04-09,15,811.12,929.46,118.33,14.2
NVDA,DIAGONAL,BULLISH,TIME,2019-03-25,2019-04-09,15,761.19,745.39,-15.8,-1.9
SOXL,DIAGONAL,BULLISH,TIME,2019-03-28,2019-04-12,15,800.46,961.74,161.28,19.4
GOOGL,NAKED_LONG,BULLISH,TIME,2019-04-09,2019-04-15,6,1234.93,1258.15,23.23,1.9
TSLA,NAKED_LONG,BULLISH,TIME,2019-04-09,2019-04-15,6,459.39,433.68,-25.71,-3.1
ZS,DIAGONAL,BULLISH,TIME,2019-04-01,2019-04-16,15,1699.63,1712.5,12.87,0.8
GDX,CREDIT_SPREAD,BULLISH,TIME,2019-04-01,2019-04-16,15,234.86,116.48,118.37,14.2
AVGO,NAKED_LONG,BEARISH,TIME,2019-04-12,2019-04-17,5,526.79,522.73,-4.06,-0.5
NVDA,NAKED_LONG,BULLISH,TIME,2019-04-15,2019-04-22,7,731.82,691.52,-40.3,-4.8
TSLA,NAKED_LONG,BULLISH,TIME,2019-04-15,2019-04-22,7,436.54,429.94,-6.6,-0.8
NOW,NAKED_LONG,BULLISH,TIME,2019-04-16,2019-04-22,6,1040.96,1025.67,-15.28,-1.5
NOW,NAKED_LONG,BULLISH,TIME,2019-04-17,2019-04-22,5,1026.24,1026.13,-0.11,-0.0
AVGO,NAKED_LONG,BULLISH,TIME,2019-04-22,2019-04-29,7,543.96,538.99,-4.97,-0.6
IWM,NAKED_LONG,BULLISH,TIME,2019-04-22,2019-04-29,7,2932.44,3001.6,69.15,2.4
TQQQ,NAKED_LONG,BEARISH,TIME,2019-04-22,2019-04-29,7,775.32,811.47,36.15,4.3
MU,CREDIT_SPREAD,BULLISH,TIME,2019-04-15,2019-04-30,15,337.31,129.15,208.16,25.0
GDX,DIAGONAL,BULLISH,TIME,2019-04-16,2019-05-01,15,430.09,393.37,-36.73,-4.4
SOXL,NAKED_LONG,BULLISH,TIME,2019-04-29,2019-05-06,7,653.07,638.34,-14.74,-1.8
MU,NAKED_LONG,BULLISH,TIME,2019-04-29,2019-05-06,7,876.78,863.23,-13.56,-1.5
TQQQ,NAKED_LONG,BEARISH,TIME,2019-04-29,2019-05-06,7,812.82,845.39,32.56,3.9
GOOGL,NAKED_LONG,BEARISH,TIME,2019-04-29,2019-05-06,7,1232.72,1330.88,98.16,8.0
AMD,NAKED_LONG,BULLISH,TIME,2019-04-30,2019-05-06,6,660.91,632.34,-28.57,-3.4
SHOP,NAKED_LONG,BEARISH,TIME,2019-05-06,2019-05-13,7,594.13,599.77,5.63,0.7
TQQQ,DIAGONAL,BULLISH,TIME,2019-05-01,2019-05-16,15,831.56,968.31,136.74,16.4
NVDA,DIAGONAL,BULLISH,TIME,2019-05-06,2019-05-21,15,787.52,704.67,-82.85,-9.9
AMD,DIAGONAL,BULLISH,TIME,2019-05-06,2019-05-21,15,652.44,668.36,15.92,1.9
AVGO,DIAGONAL,BULLISH,TIME,2019-05-06,2019-05-21,15,541.26,507.68,-33.59,-4.0
GOOGL,DIAGONAL,BEARISH,TIME,2019-05-06,2019-05-21,15,1421.42,1343.5,-77.92,-5.5
CIEN,DIAGONAL,BULLISH,TIME,2019-05-14,2019-05-29,15,768.76,772.99,4.23,0.5
GDX,DIAGONAL,BULLISH,TIME,2019-05-16,2019-05-31,15,814.53,836.02,21.49,2.6
AMZN,DIAGONAL,BULLISH,TIME,2019-05-21,2019-06-05,15,2029.35,1883.83,-145.52,-7.2
ZS,DIAGONAL,BULLISH,TIME,2019-05-21,2019-06-05,15,2122.35,2060.95,-61.41,-2.9
TQQQ,NAKED_LONG,BEARISH,TIME,2019-06-05,2019-06-10,5,811.28,947.95,136.68,16.4
TQQQ,DIAGONAL,BULLISH,TIME,2019-05-29,2019-06-13,15,712.97,766.6,53.62,6.4
AMD,DIAGONAL,BULLISH,TIME,2019-05-31,2019-06-17,17,752.71,807.23,54.53,6.5
GOOGL,DIAGONAL,BULLISH,TIME,2019-06-05,2019-06-20,15,1186.05,1191.0,4.95,0.4
AAPL,DIAGONAL,BEARISH,TIME,2019-06-05,2019-06-20,15,1052.08,974.22,-77.86,-7.4
TQQQ,DIAGONAL,BEARISH,TIME,2019-06-06,2019-06-21,15,665.72,629.37,-36.35,-4.4
CIEN,DIAGONAL,BULLISH,TIME,2019-06-10,2019-06-25,15,1531.19,1401.74,-129.44,-8.5
MRVL,NAKED_LONG,BULLISH,TIME,2019-06-20,2019-06-25,5,523.5,497.8,-25.7,-3.1
TQQQ,NAKED_LONG,BEARISH,TIME,2019-06-20,2019-06-25,5,669.69,629.82,-39.87,-4.8
AMD,DIAGONAL,BULLISH,TIME,2019-06-13,2019-06-28,15,890.81,781.09,-109.73,-12.3
SOXL,DIAGONAL,BULLISH,TIME,2019-06-17,2019-07-02,15,811.31,966.01,154.7,18.6
GOOGL,DIAGONAL,BEARISH,TIME,2019-06-21,2019-07-08,17,1273.06,1085.77,-187.29,-14.7
TQQQ,NAKED_LONG,BEARISH,TIME,2019-07-02,2019-07-08,6,746.27,722.79,-23.48,-2.8
TQQQ,DIAGONAL,BULLISH,TIME,2019-06-25,2019-07-10,15,806.07,732.68,-73.39,-8.8
AAPL,DIAGONAL,BULLISH,TIME,2019-06-25,2019-07-10,15,1004.64,1006.86,2.21,0.2
MU,DIAGONAL,BEARISH,TIME,2019-06-26,2019-07-11,15,1178.37,1180.55,2.18,0.2
CIEN,CREDIT_SPREAD,BULLISH,TIME,2019-06-28,2019-07-15,17,404.06,134.68,269.38,32.3
TQQQ,NAKED_LONG,BULLISH,TIME,2019-07-08,2019-07-15,7,713.45,744.5,31.06,3.7
QCOM,NAKED_LONG,BULLISH,TIME,2019-07-10,2019-07-15,5,1382.07,1381.37,-0.71,-0.1
TQQQ,NAKED_LONG,BEARISH,TIME,2019-07-10,2019-07-15,5,755.11,753.64,-1.47,-0.2
QCOM,NAKED_LONG,BULLISH,TIME,2019-07-11,2019-07-16,5,1358.9,1385.78,26.87,2.0
NOW,NAKED_LONG,BULLISH,TIME,2019-07-15,2019-07-22,7,1275.71,1242.53,-33.19,-2.6
TQQQ,NAKED_LONG,BEARISH,TIME,2019-07-15,2019-07-22,7,756.83,733.49,-23.34,-2.8
SOXL,NAKED_LONG,BEARISH,TIME,2019-07-15,2019-07-22,7,704.79,688.31,-16.48,-2.0
AAPL,NAKED_LONG,BEARISH,TIME,2019-07-15,2019-07-22,7,970.25,987.53,17.28,1.8
NVDA,NAKED_LONG,BULLISH,TIME,2019-07-16,2019-07-22,6,752.42,744.15,-8.27,-1.0
SOXL,CREDIT_SPREAD,BULLISH,TIME,2019-07-08,2019-07-23,15,399.88,386.08,13.8,1.7
MRVL,NAKED_LONG,BULLISH,TIME,2019-07-22,2019-07-29,7,529.32,557.77,28.45,3.4
IWM,NAKED_LONG,BULLISH,TIME,2019-07-22,2019-07-29,7,2914.51,2957.55,43.04,1.5
CIEN,NAKED_LONG,BULLISH,TIME,2019-07-22,2019-07-29,7,910.34,966.19,55.85,6.1
AVGO,NAKED_LONG,BEARISH,TIME,2019-07-22,2019-07-29,7,555.83,558.62,2.79,0.3
TQQQ,NAKED_LONG,BEARISH,TIME,2019-07-23,2019-07-29,6,755.8,741.96,-13.84,-1.7
AMZN,NAKED_LONG,BULLISH,TIME,2019-07-29,2019-08-05,7,1979.34,1839.9,-139.44,-7.0
META,NAKED_LONG,BULLISH,TIME,2019-07-29,2019-08-05,7,4061.71,3840.83,-220.88,-5.4
TQQQ,DIAGONAL,BULLISH,TIME,2019-08-05,2019-08-20,15,715.99,886.56,170.57,20.5
SOXL,DIAGONAL,BULLISH,TIME,2019-08-05,2019-08-20,15,597.5,733.49,135.98,16.3
NVDA,DIAGONAL,BULLISH,TIME,2019-08-05,2019-08-20,15,816.73,985.53,168.81,20.3
GDX,DIAGONAL,BEARISH,TIME,2019-08-05,2019-08-20,15,670.44,617.3,-53.14,-6.4
AVGO,DIAGONAL,BULLISH,TIME,2019-08-06,2019-08-21,15,503.28,541.44,38.15,4.6
QCOM,DIAGONAL,BULLISH,TIME,2019-08-06,2019-08-21,15,1284.03,1454.64,170.62,13.3
NOW,DIAGONAL,BULLISH,TIME,2019-08-20,2019-09-04,15,1172.26,1167.09,-5.18,-0.4
ZS,DIAGONAL,BULLISH,TIME,2019-08-20,2019-09-04,15,2024.12,1838.35,-185.77,-9.2
AAPL,DIAGONAL,BEARISH,TIME,2019-08-20,2019-09-04,15,1244.7,1117.93,-126.77,-10.2
TSLA,DIAGONAL,BULLISH,TIME,2019-08-21,2019-09-05,15,438.43,370.27,-68.15,-8.2
MU,DIAGONAL,BULLISH,TIME,2019-08-21,2019-09-05,15,1103.07,1163.2,60.14,5.5
TSLA,DIAGONAL,BULLISH,TIME,2019-09-04,2019-09-19,15,729.6,737.86,8.26,1.0
CRM,DIAGONAL,BULLISH,TIME,2019-09-04,2019-09-19,15,3307.08,3192.25,-114.82,-3.5
TQQQ,DIAGONAL,BEARISH,TIME,2019-09-05,2019-09-20,15,563.9,416.08,-147.82,-17.7
SOXL,DIAGONAL,BEARISH,TIME,2019-09-05,2019-09-20,15,494.35,386.03,-108.32,-13.0
NVDA,NAKED_LONG,BULLISH,TIME,2019-09-19,2019-09-24,5,828.29,777.61,-50.67,-6.1
AMD,NAKED_LONG,BULLISH,TIME,2019-09-19,2019-09-24,5,702.16,636.76,-65.4,-7.8
GOOGL,NAKED_LONG,BEARISH,TIME,2019-09-19,2019-09-24,5,1230.97,1179.84,-51.13,-4.2
NOW,NAKED_LONG,BEARISH,TIME,2019-09-20,2019-09-25,5,1156.96,1140.51,-16.45,-1.4
MU,DIAGONAL,BULLISH,TIME,2019-09-19,2019-10-04,15,1125.13,1090.47,-34.66,-3.1
SOXL,DIAGONAL,BULLISH,TIME,2019-09-20,2019-10-07,17,728.51,603.14,-125.37,-15.0
MSFT,DIAGONAL,BULLISH,TIME,2019-09-24,2019-10-09,15,2709.69,2708.71,-0.99,-0.0
TSLA,NAKED_LONG,BULLISH,TIME,2019-10-04,2019-10-09,5,773.79,796.2,22.41,2.7
AVGO,DIAGONAL,BULLISH,TIME,2019-09-25,2019-10-10,15,523.68,493.44,-30.24,-3.6
MRVL,NAKED_LONG,BEARISH,TIME,2019-10-07,2019-10-14,7,534.22,555.46,21.23,2.5
TSLA,NAKED_LONG,BEARISH,TIME,2019-10-09,2019-10-14,5,416.85,443.57,26.72,3.2
TQQQ,NAKED_LONG,BEARISH,TIME,2019-10-10,2019-10-15,5,763.81,849.14,85.33,10.2
SOXL,NAKED_LONG,BEARISH,TIME,2019-10-10,2019-10-15,5,718.84,863.46,144.62,17.4
TQQQ,NAKED_LONG,BEARISH,TIME,2019-10-14,2019-10-21,7,809.21,850.0,40.79,4.9
AAPL,NAKED_LONG,BULLISH,TIME,2019-10-15,2019-10-21,6,1193.35,1212.18,18.83,1.6
TQQQ,NAKED_LONG,BEARISH,TIME,2019-10-15,2019-10-21,6,641.0,638.35,-2.65,-0.3
COHR,DIAGONAL,BULLISH,TIME,2019-10-09,2019-10-24,15,743.48,717.06,-26.42,-3.2
GDX,DIAGONAL,BULLISH,TIME,2019-10-10,2019-10-25,15,597.63,562.0,-35.63,-4.3
GOOGL,NAKED_LONG,BULLISH,TIME,2019-10-21,2019-10-28,7,1290.2,1327.16,36.96,2.9
TSLA,NAKED_LONG,BULLISH,TIME,2019-10-21,2019-10-28,7,420.25,648.11,227.85,27.3
GDX,CREDIT_SPREAD,BULLISH,TIME,2019-10-14,2019-10-29,15,277.03,180.3,96.72,11.6
CIEN,NAKED_LONG,BULLISH,TIME,2019-10-24,2019-10-29,5,833.28,763.55,-69.73,-8.4
TQQQ,NAKED_LONG,BEARISH,TIME,2019-10-25,2019-10-30,5,637.15,610.46,-26.69,-3.2
TQQQ,NAKED_LONG,BEARISH,TIME,2019-10-28,2019-11-04,7,658.25,620.86,-37.39,-4.5
SOXL,NAKED_LONG,BEARISH,TIME,2019-10-28,2019-11-04,7,485.52,517.45,31.93,3.8
AAPL,NAKED_LONG,BULLISH,TIME,2019-10-30,2019-11-04,5,1219.53,1292.53,73.0,6.0
NOW,CREDIT_SPREAD,BULLISH,TIME,2019-10-21,2019-11-05,15,307.55,271.01,36.54,4.4
TQQQ,NAKED_LONG,BEARISH,TIME,2019-11-04,2019-11-11,7,625.23,577.87,-47.36,-5.7
SOXL,NAKED_LONG,BEARISH,TIME,2019-11-04,2019-11-11,7,523.8,464.61,-59.19,-7.1
TSLA,CREDIT_SPREAD,BULLISH,TIME,2019-10-29,2019-11-13,15,350.82,322.43,28.39,3.4
WDAY,CREDIT_SPREAD,BULLISH,TIME,2019-10-29,2019-11-13,15,271.06,133.06,138.0,16.6
AMZN,NAKED_LONG,BULLISH,TIME,2019-11-11,2019-11-18,7,1830.03,1803.28,-26.75,-1.5
GOOGL,NAKED_LONG,BULLISH,TIME,2019-11-13,2019-11-18,5,1327.93,1353.86,25.93,2.0
GDX,CREDIT_SPREAD,BULLISH,TIME,2019-11-04,2019-11-19,15,266.45,143.07,123.39,14.8
SHOP,CREDIT_SPREAD,BULLISH,TIME,2019-11-05,2019-11-20,15,366.4,291.96,74.44,8.9
TQQQ,NAKED_LONG,BEARISH,TIME,2019-11-18,2019-11-25,7,749.57,746.06,-3.52,-0.4
AAPL,NAKED_LONG,BEARISH,TIME,2019-11-18,2019-11-25,7,1265.06,1272.04,6.99,0.6
SOXL,NAKED_LONG,BULLISH,TIME,2019-11-19,2019-11-25,6,801.75,753.05,-48.71,-5.8
SOXL,NAKED_LONG,BULLISH,TIME,2019-11-20,2019-11-25,5,752.49,753.99,1.5,0.2
GDX,DIAGONAL,BULLISH,TIME,2019-11-11,2019-11-26,15,540.98,523.69,-17.28,-2.1
GDX,NAKED_LONG,BULLISH,TIME,2019-11-25,2019-12-02,7,512.63,529.85,17.22,2.1
CRM,NAKED_LONG,BULLISH,TIME,2019-11-25,2019-12-02,7,3295.7,3271.91,-23.78,-0.7
NOW,NAKED_LONG,BULLISH,TIME,2019-11-26,2019-12-02,6,1231.42,1205.43,-25.99,-2.1
MRVL,CREDIT_SPREAD,BULLISH,TIME,2019-11-18,2019-12-03,15,311.73,169.64,142.09,17.1
GDX,NAKED_LONG,BEARISH,TIME,2019-12-02,2019-12-09,7,516.49,501.68,-14.81,-1.8
TQQQ,DIAGONAL,BULLISH,TIME,2019-12-02,2019-12-17,15,777.24,854.9,77.66,9.3
SOXL,DIAGONAL,BULLISH,TIME,2019-12-02,2019-12-17,15,714.19,938.8,224.61,27.0
NVDA,DIAGONAL,BULLISH,TIME,2019-12-02,2019-12-17,15,726.97,740.04,13.07,1.6
TQQQ,DIAGONAL,BULLISH,TIME,2019-12-03,2019-12-18,15,764.48,856.92,92.44,11.1
SOXL,DIAGONAL,BULLISH,TIME,2019-12-03,2019-12-18,15,662.89,934.18,271.29,32.6
GDX,NAKED_LONG,BULLISH,TIME,2019-12-17,2019-12-23,6,527.03,546.54,19.51,2.3
MSFT,NAKED_LONG,BULLISH,TIME,2019-12-18,2019-12-23,5,3011.16,3068.2,57.04,1.9
NOW,DIAGONAL,BULLISH,TIME,2019-12-09,2019-12-24,15,1171.41,1190.92,19.51,1.7
GOOGL,NAKED_LONG,BULLISH,TIME,2019-12-23,2019-12-30,7,1380.25,1368.07,-12.19,-0.9
SHOP,NAKED_LONG,BULLISH,TIME,2019-12-23,2019-12-30,7,930.58,930.68,0.1,0.0
TQQQ,NAKED_LONG,BEARISH,TIME,2019-12-23,2019-12-30,7,663.49,660.45,-3.04,-0.4
NVDA,NAKED_LONG,BULLISH,TIME,2019-12-24,2019-12-30,6,757.84,736.45,-21.39,-2.6
TQQQ,NAKED_LONG,BEARISH,TIME,2020-01-02,2020-01-07,5,1139.72,1154.85,15.13,1.2
SOXL,NAKED_LONG,BEARISH,TIME,2020-01-02,2020-01-07,5,976.08,1022.85,46.77,3.8
NVDA,NAKED_LONG,BEARISH,TIME,2020-01-02,2020-01-07,5,1188.38,1198.33,9.95,0.8
TSLA,NAKED_LONG,BEARISH,TIME,2020-01-03,2020-01-08,5,673.35,758.2,84.85,6.9
VRT,NAKED_LONG,BEARISH,TIME,2020-01-03,2020-01-08,5,1098.31,1118.18,19.87,1.6
NVDA,NAKED_LONG,BEARISH,TIME,2020-01-07,2020-01-13,6,1199.73,1255.88,56.15,4.6
SOXL,NAKED_LONG,BEARISH,TIME,2020-01-08,2020-01-13,5,1022.64,969.65,-52.98,-4.3
NVDA,NAKED_LONG,BEARISH,TIME,2020-01-08,2020-01-13,5,1201.36,1256.16,54.8,4.4
NVDA,NAKED_LONG,BEARISH,TIME,2020-01-13,2020-01-21,8,1131.79,1119.25,-12.54,-1.0
AAPL,NAKED_LONG,BEARISH,TIME,2020-01-13,2020-01-21,8,1488.11,1502.6,14.49,1.0
AMD,DIAGONAL,BULLISH,TIME,2020-01-07,2020-01-22,15,1213.13,1140.97,-72.16,-5.8
AVGO,DIAGONAL,BULLISH,TIME,2020-01-07,2020-01-22,15,1170.29,1125.22,-45.07,-3.7
CIEN,DIAGONAL,BULLISH,TIME,2020-01-07,2020-01-22,15,1266.63,875.06,-391.58,-30.9
IWM,DIAGONAL,BULLISH,TIME,2020-01-21,2020-02-05,15,3200.82,3194.83,-5.99,-0.2
MSFT,DIAGONAL,BULLISH,TIME,2020-01-22,2020-02-06,15,3256.24,3660.46,404.21,12.4
TQQQ,NAKED_LONG,BEARISH,TIME,2020-02-06,2020-02-11,5,1055.83,1073.23,17.4,1.4
TQQQ,NAKED_LONG,BEARISH,TIME,2020-02-11,2020-02-18,7,1080.22,1103.09,22.87,1.9
GDX,DIAGONAL,BULLISH,TIME,2020-02-05,2020-02-20,15,1155.17,1167.77,12.6,1.0
GOOGL,DIAGONAL,BULLISH,TIME,2020-02-05,2020-02-20,15,1537.77,1581.79,44.01,2.9
SHOP,DIAGONAL,BULLISH,TIME,2020-02-06,2020-02-21,15,1063.95,1220.94,156.99,12.7
ZS,DIAGONAL,BULLISH,TIME,2020-02-06,2020-02-21,15,1515.7,1620.83,105.13,6.9
GDX,NAKED_LONG,BEARISH,TIME,2020-02-20,2020-02-25,5,1146.04,1206.43,60.39,4.9
SOXL,DIAGONAL,BULLISH,TIME,2020-02-18,2020-03-04,15,697.68,636.16,-61.52,-5.0
NOW,DIAGONAL,BULLISH,TIME,2020-02-20,2020-03-06,15,1697.95,1545.52,-152.43,-9.0
TQQQ,DIAGONAL,BULLISH,TIME,2020-02-21,2020-03-09,17,1078.68,948.29,-130.39,-10.6
SOXL,DIAGONAL,BULLISH,TIME,2020-02-21,2020-03-09,17,691.1,463.52,-227.57,-18.4
NVDA,DIAGONAL,BULLISH,TIME,2020-02-21,2020-03-09,17,1164.38,1128.8,-35.58,-2.9
TQQQ,DIAGONAL,BULLISH,TIME,2020-02-25,2020-03-11,15,996.41,1031.73,35.33,2.9
GDX,DIAGONAL,BEARISH,TIME,2020-03-04,2020-03-19,15,771.78,1072.13,300.35,24.3
TQQQ,DIAGONAL,BULLISH,TIME,2020-03-06,2020-03-23,17,1106.96,822.33,-284.63,-23.1
TQQQ,DIAGONAL,BULLISH,TIME,2020-03-09,2020-03-24,15,971.96,1040.4,68.44,5.5
NVDA,DIAGONAL,BULLISH,TIME,2020-03-09,2020-03-24,15,1182.7,1624.55,441.85,35.8
GDX,DIAGONAL,BULLISH,PROFIT,2020-03-11,2020-03-25,14,683.6,1199.98,516.38,41.9
AAPL,DIAGONAL,BULLISH,TIME,2020-03-19,2020-04-03,15,2191.42,2109.79,-81.62,-3.7
COHR,DIAGONAL,BEARISH,TIME,2020-03-23,2020-04-07,15,1437.2,1355.98,-81.21,-5.7
